Region,Outdoor Pollution (deaths per 100000),Indoor Pollution (deaths per 100000)
Afghanistan,51.54828728542823,134.99375306870488
"Korea, South",22.14354328856407,0.015175743790891353
Brazil,25.096405265489675,5.583721423596631
Thailand,26.325407924218784,6.704581833154358
Kuwait,35.02315186274862,0.04816964139162283
Bosnia and Herzegovina,36.71504367146741,22.081644439789084
Kyrgyzstan,40.817488873769754,30.610349481300183
US,19.18614366939201,0.08913504142450251
Tanzania,18.407444866805495,78.7673045581629
Laos,30.960703770383276,90.36795620126482
Bolivia,34.79952955521372,19.63842883877619
Latvia,30.271791531542107,4.08865710340282
Taiwan*,32.00741263382291,1.5837054918517772
Lebanon,50.589131263548914,0.01072339500693776
Bhutan,51.96556064961315,24.590261205671357
Kenya,24.593724392994506,66.45898981234399
Benin,24.968250734996715,89.36395534133676
Syria,64.93617288138901,0.08820461816190872
Libya,73.74305327448425,0.048323227144040436
Liechtenstein,11.768976748007471,0.1882479350399344
Belize,32.37512412620102,12.176981522935906
Switzerland,11.768976748007471,0.1882479350399344
Uganda,25.575438391530874,69.2222695861263
Lithuania,32.37573250828219,0.9558676994521956
Luxembourg,16.193180247673823,0.12803809819940595
Belgium,19.415050128603575,0.10442322197799417
Sweden,9.330760394875114,0.17539701595297494
Madagascar,18.3727127866077,137.5948620274753
Belarus,50.22097655537526,0.6926191980826031
Malaysia,48.56667039905736,2.1900196313502254
Liberia,10.856713210047628,102.8017220042445
Timor-Leste,30.412679478185538,36.49701995455007
Brunei,20.233162315500955,0.16086464016426485
Honduras,17.23928394808716,34.67178163875927
Zambia,25.55262950219189,74.84471993189219
Hungary,31.869363809851254,8.064261556826036
Canada,10.850451500812195,0.024770498196004083
Iceland,9.958477078214045,0.13583828545487456
Indonesia,30.412679478185538,36.49701995455007
Cameroon,57.97638214853251,57.178360641736795
Iran,46.675699484084106,0.27071172784774283
Turkey,47.652987711632996,0.4000586888682341
Iraq,42.8559874113551,0.20654623830070606
Cambodia,24.160093353659356,84.71483472871255
Ireland,14.611831244434844,0.2301387646432579
Kazakhstan,39.56113354480195,13.207756291154098
Jordan,39.99901501812742,0.019318440258954087
Togo,26.32692418594348,89.88397595886532
Bulgaria,41.65083484035961,10.24999951460994
Japan,11.555985273166765,0.02630651092249131
Ukraine,59.311221568091455,4.875243394792026
Burkina Faso,22.861012545907993,111.07320759193331
Trinidad and Tobago,51.04765535773393,0.8704718065601329
Italy,16.931367019217262,0.1965403424164748
Cabo Verde,26.500961031585618,24.631581947891906
Israel,21.543388300091856,0.16660773011092864
Tunisia,52.16698773507995,0.1896516525798198
Jamaica,33.0632248877701,9.14515427212103
Suriname,37.50236279665967,11.351051551281138
Maldives,15.814112820403505,5.9749686911223066
Barbados,35.05609610367241,0.04267974887439333
Singapore,20.107592647747623,0.03567399923173045
Netherlands,18.908948507795145,0.08533711145343154
United Kingdom,17.78612683806523,0.24883254606769145
Australia,10.787352529883,0.08336277493608862
Seychelles,38.78236680107708,3.660678958646263
New Zealand,8.493524879346575,0.1309384617828243
Nicaragua,11.957884218066813,21.764927972866968
Serbia,40.375433127920836,22.926748163718386
Niger,31.17408632000624,109.0242846128928
Nigeria,37.36224677888221,44.650236727829466
Senegal,25.490087246238797,81.36546710273886
North Macedonia,38.10848712513231,12.371671321681434
Paraguay,15.922378120063074,26.35801293756912
Antigua and Barbuda,30.920299631009183,1.4355939832240077
Papua New Guinea,26.76929617215531,218.8779091313977
San Marino,16.931367019217262,0.1965403424164748
Panama,15.38782060823982,6.050155506443088
Argentina,29.083943864929502,2.260202746274312
Vietnam,35.4346450364461,25.63626388347209
Oman,53.48418100814968,0.5028944167474898
Saudi Arabia,64.83948673517303,0.16220596237270934
Armenia,53.93490713994358,11.904036639135585
Norway,10.879384148304753,0.18315886248335966
Pakistan,71.08247626231903,55.964228215119114
Slovakia,34.042600386489916,1.6290348845850045
Mali,16.746483522185375,91.68252957805905
Sudan,44.16912048011272,52.43083262939619
Malta,23.659249075471077,0.27869204307693124
Bangladesh,50.028370005946805,61.985378174093114
United Arab Emirates,79.016014573705,0.2783852073194291
Mauritania,36.05543982493124,48.32151086637121
Bahrain,63.70682413173803,0.2803315894472375
Sri Lanka,13.430037117289801,25.16209965960096
Mauritius,45.3961774639886,3.426270276687469
Mexico,34.57553151327149,10.832114307587922
Bahamas,30.304503277300654,2.020472156631146
Spain,14.437300968041137,0.4396444651459856
Moldova,40.76299012368534,9.420438636592404
Monaco,11.768976748007471,0.1882479350399344
Azerbaijan,60.162914083883145,20.751419791511253
South Africa,47.56772687753571,10.99690220411361
Nepal,83.53341504180153,57.74157089323314
Namibia,35.49048696733098,41.62359598813735
Slovenia,18.48196651057512,1.5656381503288528
Mozambique,15.663590365878573,111.12580923499318
Morocco,65.5408848959758,2.325253116098603
Somalia,18.735750858743213,147.88948784960408
Austria,17.670284392292416,0.2665825847262322
Montenegro,30.620298995619635,17.17675752480232
Mongolia,47.91611653915694,34.280808680448196
Saint Vincent and the Grenadines,38.27239499396063,10.414223131359444
China,60.49042418271431,15.803640803011787
Cuba,31.02026596219666,1.7220087689204295
Cyprus,26.339151852155783,0.19019936511306865
Czechia,29.598606441927444,0.9588610421030938
Denmark,19.629696151989346,0.1036955248849978
Croatia,29.440428520083465,4.654715054769408
Djibouti,49.17511634353214,32.24147875520848
Dominica,30.837504522767432,6.837761310585372
Dominican Republic,25.92652041273048,11.253908442928724
Ecuador,24.15169955957024,3.113057544287344
Egypt,114.23123028691181,0.7263842171517877
Diamond Princess,11.555985273166765,0.02630651092249131
Zimbabwe,30.218677176887994,96.23599601926122
Cote d'Ivoire,23.07704685405644,96.25337526474657
Costa Rica,17.793085484437363,3.6401533540643727
Congo (Kinshasa),34.75649378204251,110.90576831144364
El Salvador,30.13966490213365,16.1433356937648
Congo (Brazzaville),34.75649378204251,110.90576831144364
Colombia,17.9348799196949,4.401575149943022
Equatorial Guinea,40.157907814969285,38.69715607730606
France,11.90933633093127,0.08889686553763029
Central African Republic,49.0991887149999,153.34145678236783
Gabon,61.53629503436657,10.874686331491636
Gambia,28.626866893710137,106.7540779823176
Georgia,39.56618497693173,31.72455336038266
Germany,19.92135348436872,0.2805077790695611
